term,pos,notes,is_case_sensitive,translation_ar,notes_ar,translation_ast,notes_ast,translation_bg,notes_bg,translation_br,notes_br,translation_ca,notes_ca,translation_cs,notes_cs,translation_da,notes_da,translation_de,notes_de,translation_el,notes_el,translation_en_ca,notes_en_ca,translation_en_gb,notes_en_gb,translation_en_us,notes_en_us,translation_eo,notes_eo,translation_es,notes_es,translation_et,notes_et,translation_eu,notes_eu,translation_fa,notes_fa,translation_fi,notes_fi,translation_fr,notes_fr,translation_fy,notes_fy,translation_ga,notes_ga,translation_gd,notes_gd,translation_gl,notes_gl,translation_he,notes_he,translation_hi,notes_hi,translation_hr,notes_hr,translation_hu,notes_hu,translation_ia,notes_ia,translation_id,notes_id,translation_ig,notes_ig,translation_it,notes_it,translation_ja,notes_ja,translation_jv,notes_jv,translation_ka,notes_ka,translation_ko,notes_ko,translation_krl,notes_krl,translation_la,notes_la,translation_lt,notes_lt,translation_mr,notes_mr,translation_ms,notes_ms,translation_nb,notes_nb,translation_nds,notes_nds,translation_nl,notes_nl,translation_nn,notes_nn,translation_oc,notes_oc,translation_pl,notes_pl,translation_pt,notes_pt,translation_pt_br,notes_pt_br,translation_ro,notes_ro,translation_ru,notes_ru,translation_rw,notes_rw,translation_si,notes_si,translation_sk,notes_sk,translation_sl,notes_sl,translation_sr,notes_sr,translation_sr_rs,notes_sr_rs,translation_sv,notes_sv,translation_tr,notes_tr,translation_uk,notes_uk,translation_vi,notes_vi,translation_zh_cn,notes_zh_cn,translation_zh_tw,notes_zh_tw
lump,noun,,false,,,,,,,,,unitat,,hrouda,"valoun  | kus  | no need to unify, for ore ""valoun"", for coal ""hrouda"" or ""kus""",,,,,,,,,,,,,,,trozo,,,,,,,,,,morceau,,,,,,,,,,,,,,,,csomó,,,,,,,,massa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,klimp,,,,,,,,肿块,,,
making,verb,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,fabricar,making a tool --> fabricar,,,,,,,,,création,,,,,,,,,,,,,,,,készítése,,,,,,,,facendo,"Anche: creando,  producendo,  preparando,  costruendo, ...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tillverkar,,,,,,,,,,,
map,noun,GUI,false,,,,,карта,,Kartenn,,Mapa,,mapa,,kort,,Karte,,χάρτης,,,,map,AUTOGENERATED - PLEASE PROOFREAD!,,,mapo,AUTOGENERATED - PLEASE PROOFREAD!,mapa,,kaart,AUTOGENERATED - PLEASE PROOFREAD!,,,نقشه,AUTOGENERATED - PLEASE PROOFREAD!,kartta,AUTOGENERATED - PLEASE PROOFREAD!,carte,,kaart,AUTOGENERATED - PLEASE PROOFREAD!,,,mapa,mhapa | mapaichean | mhapaichean,mapa,AUTOGENERATED - PLEASE PROOFREAD!,,,,,zemljovid,AUTOGENERATED - PLEASE PROOFREAD!,térkép,,,,,,,,mappa,,マップ,,,,,,지도,AUTOGENERATED - PLEASE PROOFREAD!,,,tabula,,žemėlapis,AUTOGENERATED - PLEASE PROOFREAD!,,,peta,AUTOGENERATED - PLEASE PROOFREAD!,kart,,Kaart,,kaart,,kart,AUTOGENERATED - PLEASE PROOFREAD!,,,mapa,,mapa,,mapa,,,,карта,,,,,,mapa,,zemljevid,AUTOGENERATED - PLEASE PROOFREAD!,,,,,karta,,harita,AUTOGENERATED - PLEASE PROOFREAD!,мапа,,,,地图,AUTOGENERATED - PLEASE PROOFREAD!,地圖,AUTOGENERATED - PLEASE PROOFREAD!
map objects,noun,,false,,,,,,,,,,,prvky mapy,,,,,,,,,,,,,,,,,,,,,,,,,,objects de la carte,,,,,,,,,,,,,,,,térképobjektumok,,,,,,,,oggetti della mappa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kartobjekt,,,,,,,,,,,
mark,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,contrassegno,,,,,,,,자국,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mask,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,masque,,,,,,,,,,,,,,,,,,,,,,,,maschera,,,,,,,,가리개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maximum,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,maximum,,,,,,,,,,,,,,,,,,,,,,,,massimo,,,,,,,,으뜸,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
medium,adjective,Immovable - size of field,false,متوسط,AUTOGENERATED - PLEASE PROOFREAD!,mediu,AUTOGENERATED - PLEASE PROOFREAD!,средни; средно,AUTOGENERATED - PLEASE PROOFREAD!,etre,,mitjà; normal,AUTOGENERATED - PLEASE PROOFREAD!,střední,Velikost pole,mellem,AUTOGENERATED - PLEASE PROOFREAD!,mittel,,μεσαίο,AUTOGENERATED - PLEASE PROOFREAD!,,,medium,AUTOGENERATED - PLEASE PROOFREAD!,,,meza; mezgranda,AUTOGENERATED - PLEASE PROOFREAD!,mediano,AUTOGENERATED - PLEASE PROOFREAD!,keskmine,AUTOGENERATED - PLEASE PROOFREAD!,ertaina,AUTOGENERATED - PLEASE PROOFREAD!,متوسط,AUTOGENERATED - PLEASE PROOFREAD!,keskikokoinen,AUTOGENERATED - PLEASE PROOFREAD!,moyen,AUTOGENERATED - PLEASE PROOFREAD!,gemiddeld,AUTOGENERATED - PLEASE PROOFREAD!,,,meadhanach,mheadhanach|,media; medio,AUTOGENERATED - PLEASE PROOFREAD!,בינוני,AUTOGENERATED - PLEASE PROOFREAD!,,,srednja,AUTOGENERATED - PLEASE PROOFREAD!,közepes,,,,sedang,AUTOGENERATED - PLEASE PROOFREAD!,,,medio,AUTOGENERATED - PLEASE PROOFREAD!,中,AUTOGENERATED - PLEASE PROOFREAD!,,,,,중간,AUTOGENERATED - PLEASE PROOFREAD!,,,mediocre; medium,AUTOGENERATED - PLEASE PROOFREAD!,vidutinis,AUTOGENERATED - PLEASE PROOFREAD!,मध्यम,AUTOGENERATED - PLEASE PROOFREAD!,sederhana,AUTOGENERATED - PLEASE PROOFREAD!,mellomstor,AUTOGENERATED - PLEASE PROOFREAD!,middel,,middelgroot,AUTOGENERATED - PLEASE PROOFREAD!,mellomstor; middels,AUTOGENERATED - PLEASE PROOFREAD!,mejan,AUTOGENERATED - PLEASE PROOFREAD!,średnio; średni,AUTOGENERATED - PLEASE PROOFREAD!,médio; médios,AUTOGENERATED - PLEASE PROOFREAD!,médio,AUTOGENERATED - PLEASE PROOFREAD!,medii; mediu,AUTOGENERATED - PLEASE PROOFREAD!,среднее,,,,මධ්‍යම,AUTOGENERATED - PLEASE PROOFREAD!,stredné,AUTOGENERATED - PLEASE PROOFREAD!,srednje velik; Srednje velik,AUTOGENERATED - PLEASE PROOFREAD!,,,,,medelstor,AUTOGENERATED - PLEASE PROOFREAD!,orta,AUTOGENERATED - PLEASE PROOFREAD!,середній; середня,AUTOGENERATED - PLEASE PROOFREAD!,trung bình; Trung bình,AUTOGENERATED - PLEASE PROOFREAD!,中等的,,中,AUTOGENERATED - PLEASE PROOFREAD!
menu,noun,,false,,,,,,,,,,,nabídka,,,,,,,,,,,,,,,,,,,,,,,,,,menu,,,,,,,,,,,,,,,,,,,,,,,,menu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
message window,noun,GUI,false,نافذة الرسائل,AUTOGENERATED - PLEASE PROOFREAD!,,,прозорец със съобщения,,,,Finestra de Missatges,,okno se zprávou,,beskedvindue,AUTOGENERATED - PLEASE PROOFREAD!,Nachrichtenfenster,,παράθυρο μηνυμάτων,,,,message window,AUTOGENERATED - PLEASE PROOFREAD!,,,,,ventana de mensajes,GUI,,,,,,,viestiruutu,AUTOGENERATED - PLEASE PROOFREAD!,fenêtre de message,,,,,,uinneag nan teachdaireachd,,,,,,,,,,üzenetablak,,,,,,,,finestra dei messaggi,,メッセージウィンドウ,,,,,,메시지 창,AUTOGENERATED - PLEASE PROOFREAD!,,,,,,,,,,,,,Narichtenfenster,,Berichtenvenster,,,,,,okno wiadomości,,janela das mensagens,,,,,,Окно сообщений,,,,,,,,,,,,,,meddelandefönster,,,,,,,,消息窗口,,,
metaserver,noun,GUI - Networking,false,,,,,мета сървър,,,,Metaservidor,,metaserver,metaserveru |,,,Metaserver,,μεταδιακομιστής,,,,,,,,,,,,,,,,,,,,metaserveur,,,,,,meata-fhrithealaiche,mheata-fhrithealaiche | meata-fhrithealaichean | mheata-fhrithealaichean,,,,,,,,,metakiszolgáló,GUI - Hálózat,,,,,,,metaserver,metaserver,,,,,,,,,,,,,,,,,,,,,Metaserver,Anyone who comes up with a translation please change this!,metaserver,,,,,,metaserwer,,meta-servidor,,,,,,метасервер,,,,,,metaserver,,,,,,,,metaserver,,,,,,,,元数据服务器,,,
mine,verb,,false,لغم,AUTOGENERATED - PLEASE PROOFREAD!,,,мина,AUTOGENERATED - PLEASE PROOFREAD!,mengleuz,AUTOGENERATED - PLEASE PROOFREAD!,minar/extreure,,těžit,,mine,AUTOGENERATED - PLEASE PROOFREAD!,Abbauen,abzubauen | schürfen,ορυχείο,AUTOGENERATED - PLEASE PROOFREAD!,,,mine,AUTOGENERATED - PLEASE PROOFREAD!,,,mieno,AUTOGENERATED - PLEASE PROOFREAD!,mina,AUTOGENERATED - PLEASE PROOFREAD!,,,mina,AUTOGENERATED - PLEASE PROOFREAD!,,,louhos,AUTOGENERATED - PLEASE PROOFREAD!,mine,AUTOGENERATED - PLEASE PROOFREAD!,myn,AUTOGENERATED - PLEASE PROOFREAD!,,,mèinn,AUTOGENERATED - PLEASE PROOFREAD!,mina,AUTOGENERATED - PLEASE PROOFREAD!,שלי,AUTOGENERATED - PLEASE PROOFREAD!,,,rudnik,AUTOGENERATED - PLEASE PROOFREAD!,bányászik,,,,tambang,AUTOGENERATED - PLEASE PROOFREAD!,,,miniera,AUTOGENERATED - PLEASE PROOFREAD!,鉱山,AUTOGENERATED - PLEASE PROOFREAD!,,,,,광산,AUTOGENERATED - PLEASE PROOFREAD!,,,exhaurit,AUTOGENERATED - PLEASE PROOFREAD!,kasykla,AUTOGENERATED - PLEASE PROOFREAD!,,,periuk api,AUTOGENERATED - PLEASE PROOFREAD!,gruve,AUTOGENERATED - PLEASE PROOFREAD!,ofbauen,,mijn,AUTOGENERATED - PLEASE PROOFREAD!,gruve,AUTOGENERATED - PLEASE PROOFREAD!,,,kopalnia,AUTOGENERATED - PLEASE PROOFREAD!,mina,AUTOGENERATED - PLEASE PROOFREAD!,minerar,AUTOGENERATED - PLEASE PROOFREAD!,mină,AUTOGENERATED - PLEASE PROOFREAD!,шахта,AUTOGENERATED - PLEASE PROOFREAD!,,,,,tažit,AUTOGENERATED - PLEASE PROOFREAD!,rudnik,AUTOGENERATED - PLEASE PROOFREAD!,,,,,gruva,,maden,AUTOGENERATED - PLEASE PROOFREAD!,шахта,AUTOGENERATED - PLEASE PROOFREAD!,,,矿,,公里,AUTOGENERATED - PLEASE PROOFREAD!
mug,noun,,false,,,,,,,,,Gerra,,džbán,"džbánek | u čokolády, u piva nepřekládáno",,,Becher,,,,,,,,,,,,jarra / jarro,,,,,,,,,,tasse,,,,,,,,,,,,,,,,,,,,,,,,boccale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mugg,,,,,,,,杯子,,,
needs %1% on average,,,false,,,,,,,,,necessita %1% de mitjana,,,,,,benötigt durchschnittlich %1%,,χρειάζεται %1% κατά μέσον όρο,,,,,,,,,,necesita %1% de rendimiento,,,,,,,,,,à besoin de %1% en moyenne,,,,,,,,,,,,,,,,átlagosan %1% szükséges,,,,,,,,richiede in media %1%,,,,,,,,,,,,,,,,,,,,,,bruukt ut un dör %1%,,,,,,,,,,,,,,,,требуется %1% в среднем,,,,,,,,,,,,,,behöver i genomsnitt %1%,,,,,,,,需要%1%才能平均,,,
new soldiers,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nouveaux soldats,,,,,,,,,,,,,,,,,,,,,,,,nuovi soldati,,,,,,,,신병,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nickname,noun,GUI - Networking,false,,,,,,,lesanv,,Àlies,,přezdívka,,kaldenavn,,Spielername,,παρατσούκλι,,,,,,,,,,alias,GUI - Juego en red,,,,,,,,,surnom,,,,,,far-ainm,fhar-ainm |,,,,,,,,,becenév,,,,,,,,nickname,un altro termine inglese di uso comune,ニックネーム,,,,,,,,,,,,,,,,,,,,Spitznaam,,bijnaam,,,,,,nick,,alcunha,,,,,,имя,,,,,,prezývka,,,,,,,,användarnamn,,,,,,,,昵称,,,
online,noun,,false,,,,,,,,,en línia,,online,,,,online,,,,,,,,,,,,,,,,,,,,,,en-ligne,,,,,,,,,,,,,,,,online,,,,,,,,online,,,,,,,,공동 전산망,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uppkopplad,,,,,,,,在线,,,
ore,,,false,,,,,,,,,mineral,,ruda,,,,Erz,,ορυκτό,,,,,,,,,,mineral,,,,,,,,,,minerai,,,,,,,,,,,,,,,,érc,,,,,,,,minerale,,鉱石,,,,,,광석,,,,,,,,,,,,,,Kluut,,erts,,,,,,,,minério,,,,,,руда,,,,,,,,,,,,,,malm,,,,,,,,矿石,,,
outpost,noun,,false,,,,,Преден пост,AUTOGENERATED - PLEASE PROOFREAD!,,,Post avançat,AUTOGENERATED - PLEASE PROOFREAD!,výspa,zázemí | kolonie | understood as a place not a building,forpost,AUTOGENERATED - PLEASE PROOFREAD!,Außenposten,,προφυλακή,,,,outpost,AUTOGENERATED - PLEASE PROOFREAD!,,,,,avanzada,,,,,,,,etuvartioasema,AUTOGENERATED - PLEASE PROOFREAD!,avant-poste,,,,,,gearastan,AUTOGENERATED - PLEASE PROOFREAD!,Posto de avanzada,AUTOGENERATED - PLEASE PROOFREAD!,מאחז,AUTOGENERATED - PLEASE PROOFREAD!,,,,,előőrs,,,,,,,,avamposto,AUTOGENERATED - PLEASE PROOFREAD!,前線基地,AUTOGENERATED - PLEASE PROOFREAD!,,,,,감시 초소,,,,specula,AUTOGENERATED - PLEASE PROOFREAD!,,,,,,,utpost,AUTOGENERATED - PLEASE PROOFREAD!,butenstee,AUTOGENERATED - PLEASE PROOFREAD!,voorpost,AUTOGENERATED - PLEASE PROOFREAD!,utpost,AUTOGENERATED - PLEASE PROOFREAD!,,,placówka,AUTOGENERATED - PLEASE PROOFREAD!,Posto avançado,AUTOGENERATED - PLEASE PROOFREAD!,posto avançado,AUTOGENERATED - PLEASE PROOFREAD!,,,застава,AUTOGENERATED - PLEASE PROOFREAD!,,,,,pozorovateľňa,AUTOGENERATED - PLEASE PROOFREAD!,,,ispostava,AUTOGENERATED - PLEASE PROOFREAD!,,,utpost,,,,форпост,AUTOGENERATED - PLEASE PROOFREAD!,,,前哨,,,
oxen,noun,,false,,,,,,,,,Bous,,voli,,,,Ochsen,,βόδια,,,,,,,,,,bueyes,,,,,,,,,,boeufs,,,,,,daimh,dhaimh|,,,,,,,,,ökrök,,,,,,,,buoi,,,,,,,,황소들,,,,,,,,,,,,,,Ossen,,Ossen,,,,,,,,bois,,,,,,волы,,,,,,,,,,,,,,oxar,,,,,,,,公牛,,,
packager,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,empaqueteur,,,,,,,,,,,,,,,,,,,,,,,,pacchettizzatore,,,,,,,,꾸러미 연장,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
panel,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gruppo,,,,,,,,판,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pig,,,false,,,,,,,,,porc,,vepř,,,,Schwein,,χοίρος,,,,,,,,,,,,,,,,,,,,cochon,,,,,,muc,,,,,,,,,,sertés,,,,,,,,maiale,,ブタ,,,,,,,,,,,,,,,,,,,,Swientje,,varken,,,,,,,,porco,,,,,,свинья,,,,,,,,,,,,,,gris,,,,,,,,猪,,,
pigs,,,false,,,,,,,,,Porcs,,vepři,,,,Schweine,,χοίροι,,,,,,,,,,,,,,,,,,,,cochons,,,,,,mucan,,,,,,,,,,sertések,,,,,,,,maiali,,,,,,,,,,,,,,,,,,,,,,Swientjen,,varkens,,,,,,,,porcos,,,,,,свиньи,,,,,,,,,,,,,,grisar,,,,,,,,猪,,,
planting,verb,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,plante,,,,,,,,,,,,,,,,ültetés,,,,,,,,piantando,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planterar,,,,,,,,,,,
play,noun,,false,,,,,,,,,Jugar,,hraní,,,,Spiel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,játszik,,,,,,,,gioco,,,,,,,,놀이,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spel,,,,,,,,游戏,,,
player,noun,GUI,false,لا لاعب; اللاعب,AUTOGENERATED - PLEASE PROOFREAD!,xugador,AUTOGENERATED - PLEASE PROOFREAD!,играч,,c'hoarier,,Jugador,,hráč,AUTOGENERATED - PLEASE PROOFREAD!,spiller,,Spieler,,παίκτης,,player,AUTOGENERATED - PLEASE PROOFREAD!,player,AUTOGENERATED - PLEASE PROOFREAD!,,,ludanto,AUTOGENERATED - PLEASE PROOFREAD!,jugador,,mängija,AUTOGENERATED - PLEASE PROOFREAD!,jokalaria,AUTOGENERATED - PLEASE PROOFREAD!,بازیکن,AUTOGENERATED - PLEASE PROOFREAD!,pelaaja,AUTOGENERATED - PLEASE PROOFREAD!,joueur,,spiler,AUTOGENERATED - PLEASE PROOFREAD!,,,cluicheadair,chluicheadair | cluicheadairean | chluicheadairean,xogador,AUTOGENERATED - PLEASE PROOFREAD!,שחקן,AUTOGENERATED - PLEASE PROOFREAD!,,,igrač,,játékos,,,,pemain,AUTOGENERATED - PLEASE PROOFREAD!,,,Giocatore,,プレイヤー,,,,,,플레이어,AUTOGENERATED - PLEASE PROOFREAD!,kižuaja,AUTOGENERATED - PLEASE PROOFREAD!,ludor,,žaidėjas,AUTOGENERATED - PLEASE PROOFREAD!,,,pemain,AUTOGENERATED - PLEASE PROOFREAD!,spiller,,Speler,,speler,,spelar,AUTOGENERATED - PLEASE PROOFREAD!,jogaire,AUTOGENERATED - PLEASE PROOFREAD!,gracz,,jogador,,jogador,,jucători; jucător,AUTOGENERATED - PLEASE PROOFREAD!,игрок,,umukinnyi,AUTOGENERATED - PLEASE PROOFREAD!,තරගකරු,AUTOGENERATED - PLEASE PROOFREAD!,hráč,,igralec,AUTOGENERATED - PLEASE PROOFREAD!,,,,,spelare,,oyuncu,AUTOGENERATED - PLEASE PROOFREAD!,гравець,,Người chơi,AUTOGENERATED - PLEASE PROOFREAD!,玩家,,玩家,AUTOGENERATED - PLEASE PROOFREAD!
plot,noun,building plot,false,,,,,парцел,,,,Parcel·la,,,stavební místo,,,Bauplatz,,σχέδιο,,,,,,,,,,parcela,,,,,,,,,,terrain,,,,,,raon (togail),raon | raon togail | raointean | raointean togail,,,,,,,,,hely,mint épülethely,,,,,,,trama,,,,,,,,,,,,,,,,,,,,,,Rüümte,,grondvlak,,,,,,,,lote,,,,,,участок застройки,,,,,,parcela,,,,,,,,plats,,,,,,,,小块土地,,,
port space,noun,,false,,,,,Място за пристанище,AUTOGENERATED - PLEASE PROOFREAD!,,,Zona portuària,AUTOGENERATED - PLEASE PROOFREAD!,místo pro přístav,modrá ikona přístavu |,havneplads,AUTOGENERATED - PLEASE PROOFREAD!,Hafenbauplatz,,τόπος λιμανιού,,,,port space,AUTOGENERATED - PLEASE PROOFREAD!,,,Taŭga ejo por haveno,AUTOGENERATED - PLEASE PROOFREAD!,Espacio para puerto,AUTOGENERATED - PLEASE PROOFREAD!,,,,,,,satamapaikka; Sataman paikka,AUTOGENERATED - PLEASE PROOFREAD!,espace portuaire,AUTOGENERATED - PLEASE PROOFREAD!,havenplak,AUTOGENERATED - PLEASE PROOFREAD!,,,raon puirt,,,,,,,,,,kikötőhely,,,,,,,,Spazio per il porto,spazi portuali | (plural),港の候補地,,,,,,항구 공간,AUTOGENERATED - PLEASE PROOFREAD!,,,,,,,,,ruang pelabuhan,AUTOGENERATED - PLEASE PROOFREAD!,,,Rüümte för Muden,,havenlocatie,AUTOGENERATED - PLEASE PROOFREAD!,,,,,Miejsce na port,AUTOGENERATED - PLEASE PROOFREAD!,Local para um porto; espaço portuário,AUTOGENERATED - PLEASE PROOFREAD!,,,Spațiu pentru port,AUTOGENERATED - PLEASE PROOFREAD!,Место для порта,,,,,,Prístavné miesto,AUTOGENERATED - PLEASE PROOFREAD!,Prostor v pristanišču,AUTOGENERATED - PLEASE PROOFREAD!,,,,,hamnplats,AUTOGENERATED - PLEASE PROOFREAD!,,,,,,,港口空间,,,
precious stones,noun,,false,,,,,,,,,Pedres precioses,,drahé kameny,,,,kostbare Steine,,,,,,,,,,,,,,,,,,,,,,pierres précieuses,,,,,,,,,,,,,,,,,,,,,,,,Pietre preziose,,,,,,,,보석 원석,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dyrbara stenar,,,,,,,,宝石,,,
produce,verb,,false,,,,,произвеждане,,,,Produir,,vyrábět,produkovat |,producer,eller fremstil,herstellen,alternativ: produzieren,παράγω,,,,,,,,,,producir,,,,,,,,,,produire,,,,,,saothraich,shaothraich | saothrachadh | shaothrachadh | saothraichidh | dèan | dèanamh | dhèanamh | togaidh | nì | nithear,,,,,,,,,termelni,,,,,,,,Produrre,,,,,,,,,,,,,,,,,,,,,,produzeren,,produceren,,,,,,produkować,,produzir,,produzir,,,,производить,,,,,,vyrobiť,,,,,,,,tillverka,,,,,,,,生产,,,
productionsite,noun,,false,,,,,,,,,Lloc de producció,,výrobní budova,,,,Produktionsgebäude,,,,,,,,,,,,,,,,,,,,,,site de production,,,,,,,,,,,,,,,,,,,,,,,,sito di produzione,,,,,,,,,,,,,,,,,,,,,,,,productielocatie,,,,,,,,,,,,,,,,,,,,,,,,,,,,produktionsplats,,,,,,,,生产场所,,,
progress,noun,,false,,,,,,,,,Progrés,,pokrok,průběh | vývoj |,,,Fortschritt,,,,,,,,,,,,,,,,,,,,,,progression,,,,,,,,,,,,,,,,,,,,,,,,avanzamento,,,,,,,,진행률,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"framåtskridande, utveckling",,,,,,,,进步,,,
quarries,noun,,false,,,,,,,,,Pedreres,,lomy,,,,Steinbrüche,,,,,,,,,,,,,,,,,,,,,,carrières,,,,,,,,,,,,,,,,kőfejtők,,,,,,,,cave,,,,,,,,,,,,,,,,,,,,,,Flintslagerhusen,,,,,,,,kamieniołomy,,,,,,,,,,,,,,,,,,,,,,stenbrott,,,,,,,,采石场,,,
quarry,noun,,false,,,,,кариера,AUTOGENERATED - PLEASE PROOFREAD!,,,pedrera,AUTOGENERATED - PLEASE PROOFREAD!,lom,,stenbrud,AUTOGENERATED - PLEASE PROOFREAD!,Steinbruch,,λατομείο,,,,quarry,AUTOGENERATED - PLEASE PROOFREAD!,,,ŝtonminejo; Ŝton-minejo,AUTOGENERATED - PLEASE PROOFREAD!,cantera,AUTOGENERATED - PLEASE PROOFREAD!,,,,,,,kivilouhos,AUTOGENERATED - PLEASE PROOFREAD!,carrière,,,,,,cuaraidh,chuaraidh | cuaraidhean | chuaraidhean,canteira,AUTOGENERATED - PLEASE PROOFREAD!,מחצבה,AUTOGENERATED - PLEASE PROOFREAD!,,,kamenolom,AUTOGENERATED - PLEASE PROOFREAD!,kőfejtő,,,,,,,,cava,AUTOGENERATED - PLEASE PROOFREAD!,採石場,AUTOGENERATED - PLEASE PROOFREAD!,,,,,채석장,AUTOGENERATED - PLEASE PROOFREAD!,,,lapidicina,AUTOGENERATED - PLEASE PROOFREAD!,,,,,,,steinbrudd,AUTOGENERATED - PLEASE PROOFREAD!,Flintslagerhuus,,steengroeve,AUTOGENERATED - PLEASE PROOFREAD!,steinbrot,AUTOGENERATED - PLEASE PROOFREAD!,,,kamieniołom,AUTOGENERATED - PLEASE PROOFREAD!,pedreira,AUTOGENERATED - PLEASE PROOFREAD!,pedreira,AUTOGENERATED - PLEASE PROOFREAD!,,,каменоломня,AUTOGENERATED - PLEASE PROOFREAD!,,,,,kameňolom,AUTOGENERATED - PLEASE PROOFREAD!,,,,,,,stenbrott,AUTOGENERATED - PLEASE PROOFREAD!,,,Кар’єр,AUTOGENERATED - PLEASE PROOFREAD!,,,采石场,,,
recruit,noun,Worker - all tribes. Recuits are trained into soldiers.,false,,,,,,,Tutaad,Labourer,"Reclutes (com a verb, reclutar)",,rekrut,branec |,Rekrut,,Rekrut,,Νεοσύλλεκτος,,,,,,,,,,reclutar,,,,,,,,Alokas,,Recrue,,,,,,glas-laoch,ghlas-laoch|glas-laoich|ghlas-laoich|,,,,,,,,,újonc,,,,,,,,recluta,,新兵,,,,,,,,,,,,,,,,,,,,Lehrwicht,,,,,,,,rekrutować,,,,,,,,Рекрут,,,,,,,,,,,,,,Rekryt,,,,Новобранець,,,,新兵,,,
recruit,verb,,false,مجند,AUTOGENERATED - PLEASE PROOFREAD!,,,наборник,AUTOGENERATED - PLEASE PROOFREAD!,Tutaad,,Reclutar,,verbovat,,rekrut,AUTOGENERATED - PLEASE PROOFREAD!,rekrutieren,,στρατολόγος,AUTOGENERATED - PLEASE PROOFREAD!,,,recruit,AUTOGENERATED - PLEASE PROOFREAD!,,,soldatiĝonto,AUTOGENERATED - PLEASE PROOFREAD!,recluta,,,,,,,,alokas,AUTOGENERATED - PLEASE PROOFREAD!,Recrue,,rekrút,AUTOGENERATED - PLEASE PROOFREAD!,,,Glas-laoch,AUTOGENERATED - PLEASE PROOFREAD!,,,,,,,,,toboroz,,,,,,,,reclutare,,新兵,AUTOGENERATED - PLEASE PROOFREAD!,,,,,신병,AUTOGENERATED - PLEASE PROOFREAD!,,,,,,,,,,,,,lehrwicht,AUTOGENERATED - PLEASE PROOFREAD!,rekruut,AUTOGENERATED - PLEASE PROOFREAD!,,,,,Rekrut,,recruta,AUTOGENERATED - PLEASE PROOFREAD!,,,,,рекрут,AUTOGENERATED - PLEASE PROOFREAD!,,,,,verbovanec,AUTOGENERATED - PLEASE PROOFREAD!,,,,,,,rekrytera,,,,новобранець,AUTOGENERATED - PLEASE PROOFREAD!,,,征募,,,
recycle,verb,,false,,,,,,,,,Reciclar,,recyklovat,,genbrug,,wiederaufbereiten,alternativ: (zu)rückgewinnen,ανακυκλώνω,,,,,,,,,,reciclar,,,,,,,,,kierrättää,recycler,,,,,,,,,,,,,,,,újrahasznosít,,,,,,,,riciclare,,,,,,,,,,,,,,,,,,,,,,verweerten,,recyclen,,,,,,,,,,,,,,,,,,,,,,,,,,,,återvinna,,,,,,,,回收,,,
