term,pos,comment,translation_ar,comment_ar,translation_ast,comment_ast,translation_bg,comment_bg,translation_br,comment_br,translation_ca,comment_ca,translation_cs,comment_cs,translation_da,comment_da,translation_de,comment_de,translation_el,comment_el,translation_en_CA,comment_en_CA,translation_en_GB,comment_en_GB,translation_en_US,comment_en_US,translation_eo,comment_eo,translation_es,comment_es,translation_et,comment_et,translation_eu,comment_eu,translation_fa,comment_fa,translation_fi,comment_fi,translation_fr,comment_fr,translation_fy,comment_fy,translation_ga,comment_ga,translation_gd,comment_gd,translation_gl,comment_gl,translation_he,comment_he,translation_hi,comment_hi,translation_hr,comment_hr,translation_hu,comment_hu,translation_ia,comment_ia,translation_id,comment_id,translation_ig,comment_ig,translation_it,comment_it,translation_ja,comment_ja,translation_jv,comment_jv,translation_ka,comment_ka,translation_ko,comment_ko,translation_krl,comment_krl,translation_la,comment_la,translation_lt,comment_lt,translation_mr,comment_mr,translation_ms,comment_ms,translation_my,comment_my,translation_nb,comment_nb,translation_nds,comment_nds,translation_nl,comment_nl,translation_nn,comment_nn,translation_oc,comment_oc,translation_pl,comment_pl,translation_pt,comment_pt,translation_pt_BR,comment_pt_BR,translation_ro,comment_ro,translation_ru,comment_ru,translation_rw,comment_rw,translation_si,comment_si,translation_sk,comment_sk,translation_sl,comment_sl,translation_sr,comment_sr,translation_sv,comment_sv,translation_tr,comment_tr,translation_uk,comment_uk,translation_vi,comment_vi,translation_zh_CN,comment_zh_CN,translation_zh_TW,comment_zh_TW
crystal,,,,,,,,,,,Pedres precioses,,křišťál,,,,Kristall,,κρύσταλλος,,,,,,,,,,cristal,,,,,,,,,,cristal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Edelflint,Edelflint|Blinkerflint|Flint,,,,,,,,,cristal,,,,,,кристалл,,,,,,,,,,,,kristall,,,,,,,,,,,
default,,,,,,,,,,,Per defecte,,výchozí,,,,Standard,,προεπιλογή,,,,,,,,,,,,,,,,,,,,défaut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,anners,anners | normaal | default,standaard,,,,,,,,,,,,,,по умолчанию,,,,,,,,,,,,standard,,,,,,,,,,,
defeat,Verb,,,,,,,,,,,,,,,,besiegen,,καταβάλλω,,,,,,,,,,derrotar,,,,,,,,,,Défaire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,manntjen,manntjen | unnerkriegen | verlüsen | overwinnen | innehmen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
delete,Verb,GUI,إحذف,AUTOGENERATED - PLEASE PROOFREAD!,,,изтриване,,,,Esborrar / Eliminar,,smazat; delete,AUTOGENERATED - PLEASE PROOFREAD!,slet,,löschen,,διαγράφω,,,,delete,AUTOGENERATED - PLEASE PROOFREAD!,,,forigi,AUTOGENERATED - PLEASE PROOFREAD!,borrar,GUI,,,,,حذف,AUTOGENERATED - PLEASE PROOFREAD!,poista; delete,AUTOGENERATED - PLEASE PROOFREAD!,supprimer,,,,,,sguab às,sguabadh às|,eliminar,AUTOGENERATED - PLEASE PROOFREAD!,,,,,obriši,AUTOGENERATED - PLEASE PROOFREAD!,törölni,,,,,,,,Cancella,,削除,AUTOGENERATED - PLEASE PROOFREAD!,,,,,삭제,AUTOGENERATED - PLEASE PROOFREAD!,,,delere,AUTOGENERATED - PLEASE PROOFREAD!,,,,,padam,AUTOGENERATED - PLEASE PROOFREAD!,,,slett,AUTOGENERATED - PLEASE PROOFREAD!,wegdoon,,verwijderen,,slett,AUTOGENERATED - PLEASE PROOFREAD!,,,usunąć,,apagar,,apagar,AUTOGENERATED - PLEASE PROOFREAD!,,,удалить,,,,,,vymazať,,zbriši,AUTOGENERATED - PLEASE PROOFREAD!,,,ta bort,,,,видалити,AUTOGENERATED - PLEASE PROOFREAD!,,,删除,AUTOGENERATED - PLEASE PROOFREAD!,删除,AUTOGENERATED - PLEASE PROOFREAD!
destroy,Verb,Building function,دمر,AUTOGENERATED - PLEASE PROOFREAD!,,,разрушаване,,,,Destruir / Enderrocar,,zbořit,,ødelæg,,zerstören,,καταστρέφω,,,,destroy,AUTOGENERATED - PLEASE PROOFREAD!,,,,,Destruir,Funcionalidad de edificios,,,,,تخریب,AUTOGENERATED - PLEASE PROOFREAD!,tuhoa,AUTOGENERATED - PLEASE PROOFREAD!,Détruire,,ferniel,AUTOGENERATED - PLEASE PROOFREAD!,,,mill,mhill | milleadh | mhilleadh,destruir,AUTOGENERATED - PLEASE PROOFREAD!,,,,,uništi,AUTOGENERATED - PLEASE PROOFREAD!,elpusztítani,,,,,,,,Distruggi,,破壊,,,,,,파괴,AUTOGENERATED - PLEASE PROOFREAD!,,,delere,AUTOGENERATED - PLEASE PROOFREAD!,sugriauti,AUTOGENERATED - PLEASE PROOFREAD!,,,musnah,AUTOGENERATED - PLEASE PROOFREAD!,,,ødelegg,AUTOGENERATED - PLEASE PROOFREAD!,ofbrannen,,vernietigen,,øydelegg,AUTOGENERATED - PLEASE PROOFREAD!,,,zniszczyć,,destruir,,Destruir,,,,разрушить,(??),,,,,zničiť,,podri,AUTOGENERATED - PLEASE PROOFREAD!,,,förstör,,,,знищити,AUTOGENERATED - PLEASE PROOFREAD!,,,,,,
diamonds,Noun,Ware - Atlanteans. plural of diamond,,,,,диаманти,,,,Diamants,,,,diamanter,,Diamanten,,διαμάντια,,,,,,,,,,diamantes,,,,,,,,,,diamants,,,,,,daoimeanan,,,,,,,,,,gyémántok,,,,,,,,Diamanti,,ダイヤモンド,,,,,,,,,,,,,,,,,,,,,,Edelstenen,,diamanten,,,,,,,,diamantes,,,,,,Алмазы,,,,,,diamanty,,,,,,diamanter,,,,,,,,,,,
disabled,Adjective,,,,,,,,,,,,,,,,,,απενεργοποιημένος,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,utknipst,,,,,,,,,,desativado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dismantle,Verb,Building function,فكك,AUTOGENERATED - PLEASE PROOFREAD!,,,демонтиране,,,,Desmantellar,,rozebrat,funkce stavby,riv ned,,abreißen,,αποσυναρμολόγηση,,,,dismantle,AUTOGENERATED - PLEASE PROOFREAD!,,,,,Desmantelar,Funcionalidad de edificios,,,,,,,pura,AUTOGENERATED - PLEASE PROOFREAD!,démanteler,,Brêk ôf,AUTOGENERATED - PLEASE PROOFREAD!,,,thoir às a chèile,toirt às a chèile | thoirt às a chèile,,,,,,,rastavi,AUTOGENERATED - PLEASE PROOFREAD!,lebontani,,,,,,,,Smantellare,,解体,(コメント: AUTOGENERATED - PLEASE PROOFREAD!),,,,,해체,AUTOGENERATED - PLEASE PROOFREAD!,,,,,,,,,runtuh,AUTOGENERATED - PLEASE PROOFREAD!,,,demonter,AUTOGENERATED - PLEASE PROOFREAD!,plattrieten,,ontmantelen,,demonter,AUTOGENERATED - PLEASE PROOFREAD!,,,rozebrać,,desmanchar,,desmantelar,AUTOGENERATED - PLEASE PROOFREAD!,,,"разобрать, демонтировать",,,,,,rozobrať,,,,,,demontera,,,,демонтувати,,,,,,,
dismantle site,Noun,Building,,,,,демонтажна площадка,,,,Desmantellar l'Obra,,rozebrat stavbu,stavby,nedrivningsområde,,Abriss des Gebäudes,,πεδίο αποσυναρμολόγησης,,,,,,,,,,desmantelar obra,Edificio,,,,,,,,,démanteler le site,,,,,,’ga thoirt às a chèile,"làrach boir. gin. -aich, iol. làraichean",,,,,,,,,épület lebontása,,,,,,,,Cantiere di smantellamento,,解体中,,,,,,,,,,,,,,,,,,,,,,Huus word plattreten,"""House is being dismantled""",Ontmantelingswerf,,,,,,plac rozbiórki,,desmanchando edifício,,,,,,площадка демонтажа,,,,,,miesto rozoberania,,,,,,demontera byggnad,,,,,,,,,,,
dismantlesite,Noun,,,,,,,,,,Lloc de desmantellament,,,,,,,,πεδίο αποσυναρμολόγησης,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Huus word plattreten,,,,,,,,,,,,,,,,площадка демонтажа,,,,,,,,,,,,,,,,,,,,,,,
drinking halls,Noun,,,,,,,,,,Sales de begudes,,,,,,Trinkhallen,,καπηλειά,,,,,,,,,,,,,,,,,,,juomahallit,bistrots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weertskuppen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
encyclopedia,Noun,,,,,,,,,,,,,,,,Stammeslexikon,,εγκυκλοπαίδεια,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tum Naslaan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
enhance,Verb,Building function,,,,,Подобряване,,,,Ampliar (o millorar),,vylepšit,funkce stavby,udvid,,erweitern,,αναβαθμίζω,,,,,,,,,,mejorar,Funcionalidad de edificios,,,,,,,,,améliorer,,,,,,leasaich gu,leasaich | leasachadh | leasachaidh | leasaichte,,,,,,,,,fejleszteni,,,,,,,,migliora,(avanza),拡張,建物を拡張する。領土を拡大する。,,,,,,,,,augere,"augeo, auxi, auctum",,,,,,,,,oppgrader,,utbauen,,verbeter,"""opwaarderen"" occurs too",,,,,ulepszyć,,melhorar,,melhorar,,,,улучшить,,,,,,vylepšiť,,,,,,bygga ut,,,,,,,,,,,
experience point,Noun,,,,,,,,,,Punt d'experiència,,body zkušeností,,erfaringspoint,,Erfahrungspunkt,,βαθμός εμπειρίας,,,,,,,,,,punto de experiencia,,,,,,,,,,Point d'expérience,,,,,,,,,,,,,,,,tapasztalati pont,,,,,,,,,,経験点,,,,,,,,,,,,,,,,,,,,,,Erfahrungs-Punkt,,ervaringspunt,,,,,,,,ponto de experiência,,,,,,очки опыта,,,,,,skúsenostný bod,,,,,,erfarenhetspoäng,,,,,,,,,,,
explore,Verb,Campaigns texts,,,,,изследване,,,,Explorar,,,,udforsk,,erkunden,,εξερευνώ,,,,,,,,,,explorar,Textos de campañas,,,,,,,,,explorer,,,,,,rùraich,rùrachadh |,,,,,,,,,felfedezni,,,,,,,,Esplorare,,,,,,,,,,,,,,,,,,,,,,,,utförsken,utförsken | naförsken,verkennen,,,,,,,,explorar,,,,,,исследовать,,,,,,,,,,,,utforska,,,,,,,,,,,
farms,Noun,,,,,,,,,,masoveries o granges,masoveries per agricultura / granges per criança d'animals,obilná pole,,,,Bauernhöfe,,αγροκτήματα,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,農場,,,,,,,,,,,,,,,,,,,,,,Buurdereen,,,,,,,,,,,,,,,,фермы,,,,,,,,,,,,,,,,,,,,,,,
flag,Noun,Game entity,عَلم,AUTOGENERATED - PLEASE PROOFREAD!,,,флаг,,,,Bandera,,vlajka,,flag,,Flagge,,σημαία,,,,flag,AUTOGENERATED - PLEASE PROOFREAD!,,,flago,AUTOGENERATED - PLEASE PROOFREAD!,bandera,,,,bandera,AUTOGENERATED - PLEASE PROOFREAD!,,,lippu,AUTOGENERATED - PLEASE PROOFREAD!,drapeau,,flagge,AUTOGENERATED - PLEASE PROOFREAD!,,,bratach,bhratach | brataich | brataichean | bhrataichean,,,,,,,,,zászló,,,,,,,,bandiera,,旗,,,,,,깃발,AUTOGENERATED - PLEASE PROOFREAD!,flagu,AUTOGENERATED - PLEASE PROOFREAD!,insigne,-is n.,,,,,bendera,AUTOGENERATED - PLEASE PROOFREAD!,,,flagg,,Fahn,,vlag,,,,,,flaga,,bandeira,,bandeira,,steag,AUTOGENERATED - PLEASE PROOFREAD!,флаг,,,,,,vlajka,,,,,,flagga,,bayrak,AUTOGENERATED - PLEASE PROOFREAD!,,,,,旗子,AUTOGENERATED - PLEASE PROOFREAD!,,
fog of war,Noun,Game entity,,,,,мъгла,,,,Boira de Guerra,,,,,,Nebel des Krieges,,ομίχλη πολέμου,,,,,,,,,,niebla de guerra,,,,,,,,,,brouillard de guerre,,,,,,ceò a’ chogaidh,cheò a’ chogaidh | ceòtha a’ chogaidh,,,,,,,,,háború köde,,,,,,,,Nebbia di guerra,,戦霧,,,,,,,,,,,,,,,,,,,,,,Kriegsnevel,,oorlogsmist,,,,,,mgła wojny,,nevoeiro de guerra,,,,,,туман войны,,,,,,vojnová hmla,,,,,,krigsdimma,,,,,,,,,,,
food,Noun,Ware category,,,,,храна,,,,Aliment,,,,fødevare,eller mad,Nahrung,,φαγητό,,,,,,,,,,comida,Categoría de mercancías,,,,,,,,,nourriture,,,,,,biadh,bhiadh | bìdh | bhìdh | biadhan | bhiadhan,,,,,,,,,élelmiszer,,,,,,,,Cibo,,食料,,,,,,,,,,,,,,,,,,,,,,Spiesen,,voedsel,,,,,,,,alimentos / alimentação,,,,,,пайки,,,,,,jedlo,,,,,,mat,,,,,,,,,,,
food economy,Noun,,,,,,,,,,,,,,,,Nahrungswirtschaft,,οικονομία φαγητού,,,,,,,,,,,,,,,,,,,,économie alimentaire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spiesen-Wirtschaft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
forging,Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,forjar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
game,Noun,,لعبة; اللعبة,AUTOGENERATED - PLEASE PROOFREAD!,,,игра,AUTOGENERATED - PLEASE PROOFREAD!,,,Partida,,hra,AUTOGENERATED - PLEASE PROOFREAD!,spil,AUTOGENERATED - PLEASE PROOFREAD!,Spiel / Wild,"Zweiteres, wenn’s um Jäger geht.",θήραμα,,,,game,AUTOGENERATED - PLEASE PROOFREAD!,,,,,partida,,,,,,بازی,AUTOGENERATED - PLEASE PROOFREAD!,peli,AUTOGENERATED - PLEASE PROOFREAD!,jeu; partie,AUTOGENERATED - PLEASE PROOFREAD!,,,,,geama,gheama | geamannan | gheamannan | sitheann | sìthne,,,,,,,igra,AUTOGENERATED - PLEASE PROOFREAD!,játék,AUTOGENERATED - PLEASE PROOFREAD!,,,,,,,gioco; partita,AUTOGENERATED - PLEASE PROOFREAD!,ゲーム,,,,,,게임,AUTOGENERATED - PLEASE PROOFREAD!,,,,,,,,,permainan,AUTOGENERATED - PLEASE PROOFREAD!,,,spill,AUTOGENERATED - PLEASE PROOFREAD!,Speel,,spel,AUTOGENERATED - PLEASE PROOFREAD!,spel,AUTOGENERATED - PLEASE PROOFREAD!,,,gra,AUTOGENERATED - PLEASE PROOFREAD!,partida,AUTOGENERATED - PLEASE PROOFREAD!,jogo,AUTOGENERATED - PLEASE PROOFREAD!,,,игра,,,,,,hra,AUTOGENERATED - PLEASE PROOFREAD!,,,,,spel; speltid,AUTOGENERATED - PLEASE PROOFREAD!,,,гра,AUTOGENERATED - PLEASE PROOFREAD!,,,,,,
garment,Noun,,,,,,,,,,Vestit,,,,,,,,ενδυμασία,,,,,,,,,,,,,,,,,,,vaate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kluft,,,,,,,,,,roupa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geologists,,,,,,,Геолози,,,,Geòlegs,,geologové,,,,Geologen,,γεωλόγοι,,,,,,,,,,,,,,,,,,,,géologues,,,,,,,chlach-eòlaiche | clach-eòlaichean | chlach-eòlaichean,,,,,,,,,,,,,,,,,,,地質学者,,,,,,,,,,,,,,,,,,,,,,Schattsökers,,geologen,,,,,,,,geólogos,,,,,,геологи,,,,,,,,,,,,geologer,,,,,,,,,,,
grapevines,Noun,,,,,,,,,,,,,,,,Weinreben,,αμπέλια,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wiendruven,Wiendruven | Wien,,,,,,,,,videiras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harvested,Adjective,Immovable - size of field,,,,,,,,,recol·lectat,,,,,,,,θερισμένο,,,,,,,,,,,,,,,,,,,,,,,,,,air a bhuain,air a buain |,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,arnt,,,,,,,,,,colhido,,,,,,убрано,,,,,,,,,,,,,,,,,,,,,,,
harvesting,Verb,,,,,,,,,,,,,,,,,,θερίζει,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,arnten,,,,,,,,,,colher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
health bar,Noun,Game entity,,,,,,,,,Barra de salut,,ukazatel života,,Helbredsstatus,,Lebenspunkte-Leiste,,στάθμη ζωής,,,,,,,,,,barra de vida,Entidad del juego,,,,,,,,,barre de santé,,,,,,bàr slàinte,"fir. gin. bàir, iol. -aichean",,,,,,,,,eléterősáv,,,,,,,,Barra della salute,,,,,,,,,,,,,,,,,,,,,,,,Levendwieser,,levensbalk,,,,,,pasek zdrowia,,,,,,,,полоска здоровья,,,,,,ukazovateľ zdravia,,,,,,hälsostapel,,,,,,,,,,,
helm,,,,,,,,,,,Casc,,přilba,,,,Helm,,κράνος,,,,,,,,,,,,,,,,,,,,Casque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Helm,,,,,,,,,,,,,,,,Шлем,,,,,,,,,,,,,,,,,,,,,,,
heroes,Noun,Soldiers - all tribes,,,,,герои,,,,Herois,,,,helte,,Helden,,ήρωες,,,,,,,,,,héroes,,,,,,,,,,héros,,,,,,,,,,,,,,,,hősök,,,,,,,,Veterani,"""eroi"" sarebbe la traduzione letterale, ma mi pare che veterani ci stia meglio",,,,,,,,,,,,,,,,,,,,,,,Helden,,helden,,,,,,,,heróis,,,,,,ветераны,,,,,,hrdinovia,,,,,,hjältar,,,,,,,,,,,
hotkey,Noun,GUI,,,,,,,,,Drecera/Drecera de teclat,,klávesa,,,,Tastenkürzel,,πλήκτρο συντόμευσης,,,,,,,,,,atajo de teclado,GUI,,,,,,,,,Raccourci-clavier,,,,,,grad-iuchair,ghrad-iuchair | grad-iuchrach | grad-iuchraichean | ghrad-iuchraichean,,,,,,,,,gyorsgomb,,,,,,,,tasto di scelta rapida,,ホットキー,,,,,,,,,,,,,,,,,,,,,,Handigtaste,,sneltoets,,,,,,skrót klawiszowy,,tecla de atalho,,,,,,горячая клавиша,,,,,,klávesová skratka,,,,,,snabbkommando,,,,,,,,,,,
hut,Noun,Building categorie,,,,,колиба,,,,Barraca / Cabana,,chata,,hytte,,Hütte,,καλύβα,,,,,,,,,,Cabaña,,,,,,,,,,cabane,,,,,,bothan,bhothan | bothain | bhothain,,,,,,,,,kunyhó,,,,,,,,Capanna,,庵,,,,,,,,,,,,,,,,,,,,,,Huus,Hütt | Huus,hut,,,,,,chata,,cabana,,,,,,хижина,,,,,,,,,,,,koja,,,,,,,,,,,
idle,Adjective,State for ships,,,,,,,,,,,,,,,untätig,,ανενεργό,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
in-game help,Noun,,,,,,,,,,,,,,,,Hilfe im Spiel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hülp im Speel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inns,,,,,,,,,,,Hostals,,hostince,,,,Wirtshäuser,,πανδοχεία,,,,,,,,,,,,,,,,,,,,auberges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weertskuppen,Kröög | Weertskuppen,,,,,,,,,,,,,,,трактиры,,,,,,,,,,,,värdshus,,,,,,,,,,,
lobby,Noun,GUI - Networking,,,,,стая,,,,Sala d'espera,,,,lobby,,Lobby,,αίθουσα αναμονής,,,,,,,,,,vestíbulo,GUI - Juego en red,,,,,,,,,Vestibule,,,,,,lobaidh,,,,,,,,,,váró,,,,,,,,lobby,un'altra parola presa in prestito,ロビー,,,,,,,,,,,,,,,,,,,,,,Deel,,lobby,,,,,,,,receção,,,,,,прихожая,,,,,,predsieň,,,,,,lobby,,,,,,,,,,,
logs,,,,,,,Дървени трупи,,,,Tronc/Registre,,kmeny,,,,Stämme,,κορμοί,,,,,,,,,,,,,,,,,,,,troncs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,boomstammen,,,,,,,,,,,,,,бревна,,,,,,,,,,,,stockar,,,,,,,,,,,
map,Noun,GUI,,,,,карта,,,,Mapa,,mapa,,kort,,Karte,,χάρτης,,,,map,AUTOGENERATED - PLEASE PROOFREAD!,,,mapo,AUTOGENERATED - PLEASE PROOFREAD!,mapa,,kaart,AUTOGENERATED - PLEASE PROOFREAD!,,,نقشه,AUTOGENERATED - PLEASE PROOFREAD!,kartta,AUTOGENERATED - PLEASE PROOFREAD!,carte,,kaart,AUTOGENERATED - PLEASE PROOFREAD!,,,mapa,mhapa | mapaichean | mhapaichean,mapa,AUTOGENERATED - PLEASE PROOFREAD!,,,,,zemljovid,AUTOGENERATED - PLEASE PROOFREAD!,térkép,,,,,,,,mappa,,マップ,,,,,,지도,AUTOGENERATED - PLEASE PROOFREAD!,,,tabula,,žemėlapis,AUTOGENERATED - PLEASE PROOFREAD!,,,peta,AUTOGENERATED - PLEASE PROOFREAD!,,,kart,,Kaart,,kaart,,kart,AUTOGENERATED - PLEASE PROOFREAD!,,,mapa,,mapa,,mapa,,,,карта,,,,,,mapa,,zemljevid,AUTOGENERATED - PLEASE PROOFREAD!,,,karta,,harita,AUTOGENERATED - PLEASE PROOFREAD!,мапа,,,,地图,AUTOGENERATED - PLEASE PROOFREAD!,地圖,AUTOGENERATED - PLEASE PROOFREAD!
medium,Adjective,Immovable - size of field,متوسط,AUTOGENERATED - PLEASE PROOFREAD!,mediu,AUTOGENERATED - PLEASE PROOFREAD!,средни; средно,AUTOGENERATED - PLEASE PROOFREAD!,,,mitjà; normal,AUTOGENERATED - PLEASE PROOFREAD!,střední,AUTOGENERATED - PLEASE PROOFREAD!,mellem,AUTOGENERATED - PLEASE PROOFREAD!,mittel,,μεσαίο,AUTOGENERATED - PLEASE PROOFREAD!,,,medium,AUTOGENERATED - PLEASE PROOFREAD!,,,meza; mezgranda,AUTOGENERATED - PLEASE PROOFREAD!,mediano,AUTOGENERATED - PLEASE PROOFREAD!,keskmine,AUTOGENERATED - PLEASE PROOFREAD!,ertaina,AUTOGENERATED - PLEASE PROOFREAD!,متوسط,AUTOGENERATED - PLEASE PROOFREAD!,keskikokoinen,AUTOGENERATED - PLEASE PROOFREAD!,moyen,AUTOGENERATED - PLEASE PROOFREAD!,gemiddeld,AUTOGENERATED - PLEASE PROOFREAD!,,,meadhanach,,media; medio,AUTOGENERATED - PLEASE PROOFREAD!,בינוני,AUTOGENERATED - PLEASE PROOFREAD!,,,srednja,AUTOGENERATED - PLEASE PROOFREAD!,közepes,AUTOGENERATED - PLEASE PROOFREAD!,,,sedang,AUTOGENERATED - PLEASE PROOFREAD!,,,medio,AUTOGENERATED - PLEASE PROOFREAD!,中,AUTOGENERATED - PLEASE PROOFREAD!,,,,,중간,AUTOGENERATED - PLEASE PROOFREAD!,,,mediocre; medium,AUTOGENERATED - PLEASE PROOFREAD!,,,मध्यम,AUTOGENERATED - PLEASE PROOFREAD!,sederhana,AUTOGENERATED - PLEASE PROOFREAD!,,,mellomstor,AUTOGENERATED - PLEASE PROOFREAD!,middel,,middelgroot,AUTOGENERATED - PLEASE PROOFREAD!,mellomstor; middels,AUTOGENERATED - PLEASE PROOFREAD!,mejan,AUTOGENERATED - PLEASE PROOFREAD!,średnio; średni,AUTOGENERATED - PLEASE PROOFREAD!,médio; médios,AUTOGENERATED - PLEASE PROOFREAD!,médio,AUTOGENERATED - PLEASE PROOFREAD!,medii; mediu,AUTOGENERATED - PLEASE PROOFREAD!,среднее,,,,මධ්‍යම,AUTOGENERATED - PLEASE PROOFREAD!,stredné,AUTOGENERATED - PLEASE PROOFREAD!,srednje velik; Srednje velik,AUTOGENERATED - PLEASE PROOFREAD!,,,medel,AUTOGENERATED - PLEASE PROOFREAD!,orta,AUTOGENERATED - PLEASE PROOFREAD!,середній; середня,AUTOGENERATED - PLEASE PROOFREAD!,trung bình; Trung bình,AUTOGENERATED - PLEASE PROOFREAD!,中,AUTOGENERATED - PLEASE PROOFREAD!,中,AUTOGENERATED - PLEASE PROOFREAD!
message window,Noun,GUI,نافذة الرسائل,AUTOGENERATED - PLEASE PROOFREAD!,,,прозорец със съобщения,,,,Finestra de Missatges,,okno se zprávou,,beskedvindue,AUTOGENERATED - PLEASE PROOFREAD!,Nachrichtenfenster,,παράθυρο μηνυμάτων,,,,message window,AUTOGENERATED - PLEASE PROOFREAD!,,,,,ventana de mensajes,GUI,,,,,,,viestiruutu,AUTOGENERATED - PLEASE PROOFREAD!,fenetre de message,,,,,,uinneag nan teachdaireachd,,,,,,,,,,üzenetablak,,,,,,,,finestra dei messaggi,,メッセージウィンドウ,,,,,,메시지 창,AUTOGENERATED - PLEASE PROOFREAD!,,,,,,,,,,,,,,,Narichtenfenster,,Berichtenvenster,,,,,,okno wiadomości,,a janela das mensagens,,,,,,Окно сообщений,,,,,,,,,,,,meddelandefönster,,,,,,,,,,,
metaserver,Noun,GUI - Networking,,,,,мета сървър,,,,Metaservidor,,,,,,Metaserver,,μεταδιακομιστής,,,,,,,,,,,,,,,,,,,,metaserveur,,,,,,meata-fhrithealaiche,mheata-fhrithealaiche | meata-fhrithealaichean | mheata-fhrithealaichean,,,,,,,,,metakiszolgáló,GUI - Hálózat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metaserver,Anyone who comes up with a translation please change this!,metaserver,,,,,,metaserwer,,meta-servidor,,,,,,метасервер,,,,,,metaserver,,,,,,metaserver,,,,,,,,,,,
miners,Noun,,,,,,,,,,,,,,,,Bergleute,,μεταλλωρύχοι,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bargwarkskeerls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
